,fly,flyid,condition,trip_index,time,cumul_feeding,norm_cumul_feeding,duration,length,runturnsegs,previsit_duration,isloop,postvisit_duration,scaled_duration,scaled_length,scaled_duration_loop,scaled_length_loop,scaled_previsit_duration,scaled_postvisit_duration,genotype,triptype,triptype_vs,log10_duration,log10_scaled_duration,log10_length,log10_scaled_length
1937,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,30.0,1623.5981370000002,765.2062980000017,0.8971062585703231,1.7094449999999597,2.8344841790367354,5.0,21.43061499999999,True,13.717261999999891,0.08349905546935948,0.021692235359887426,0.28386962406411853,0.08573543542206268,0.6740265273323607,0.3494173368644582,CantonSMH,short,very short,0.23285513228629726,-1.0783184371722692,0.4524740372746976,-1.0668396421664224
1938,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,31.0,1639.024844,778.6733980000017,0.9128947063737055,3.752442000000201,8.117406485288484,6.0,13.717261999999891,True,16.302277000000004,0.18329069534473377,0.06212230545968141,0.6231287346843516,0.24552946340684584,0.43142945129517213,0.41526495696931026,CantonSMH,short,short,0.5743139882505429,-0.7368595812080234,0.9094172941373218,-0.6098963853037982
1939,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,32.0,1659.0795630000002,793.9333290000018,0.9307850186218298,28.018237,193.59912485458972,31.0,16.302277000000004,True,5.920521000000008,1.368570691316021,1.4816091805603846,4.652695116911959,5.855846855486509,0.5127322362853434,0.1508123618744118,CantonSMH,long,long,1.4474408045664562,0.1362672351078898,2.2869033897922013,0.7675897103510815
1940,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,33.0,1693.0183210000002,799.6870750000016,0.937530547978181,15.093155999999908,149.61494873817446,21.0,5.920521000000008,True,5.837132999999994,0.7372359274803916,1.144999398969625,2.506362310376274,4.525445183495847,0.1862096915850676,0.14868823441468562,CantonSMH,long,long,1.1787800608540644,-0.13239350860450205,2.174974988115066,0.6556613086739459
1941,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,34.0,1713.9486100000001,805.5242080000016,0.9443738378989435,10.798696000000064,122.68357353376541,18.0,5.837132999999994,True,6.128987999999936,0.5274699778587653,0.9388942692179354,1.7932263242764706,3.7108443482745237,0.18358700791214452,0.15612260410526652,CantonSMH,long,long,1.0333713152836095,-0.2778022541749569,2.088786417647847,0.5694727382067271
1942,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,35.0,1730.8762940000001,810.9860960000015,0.9507772011765546,40.609766000000036,481.763914408024,60.0,6.128987999999936,True,9.964819999999918,1.9836128707456466,3.6869269888784504,6.743638436891567,14.572047809575713,0.19276630641265635,0.2538320596875447,CantonSMH,long,long,1.6086304870226265,0.2974569175640601,2.6828342668943947,1.1635205874532748
1943,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,36.0,1781.45088,820.2421200000013,0.961628702375094,0.7504880000001322,0.5368121084738959,1.0,9.964819999999918,True,7.171334999999999,0.036658119530667076,0.004108209418551231,0.12462568051307574,0.01623710592573695,0.31340925214194754,0.18267412093338298,CantonSMH,short,very short,-0.12465624755847281,-1.4358298170170392,-0.27017769666900254,-1.7894913761101225
1944,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,37.0,1789.3727030000002,826.6629650000009,0.9691563197638491,62.37393099999986,243.41390677867457,36.0,7.171334999999999,False,,3.0466989721290316,1.8628404401633014,10.357785330543917,7.362608491449467,0.22554975796947577,,CantonSMH,long,long,1.7950031155087276,0.4838295460501613,2.386345386813961,0.8670317073728406
1945,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,38.0,1856.332953,830.6655710000009,0.9738488620267345,4.25276800000006,16.895154607558652,11.0,4.586319000000003,True,2.7100980000000163,0.2077294742623076,0.1292981886790411,0.7062126323993804,0.5110324649243126,0.14424694152773632,0.06903383676725774,CantonSMH,short,short,0.628671691421291,-0.6825018780372754,1.2277621703578734,-0.29155150908324656
1946,bias_video_cam_0_date_2019_06_06_time_17_56_10_v001,fly02,0-125M_24hr,39.0,1863.2958190000002,833.2088940000008,0.9768305821025222,321.54261699999984,1553.3577767365814,207.0,2.7100980000000163,False,,15.705977561516535,11.887807573698469,53.39521412410751,46.98484695723963,0.08523684195112403,,CantonSMH,long,long,2.5072385421166685,1.1960649726581023,3.1912714960164488,1.671957816575329
