genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
CantonSMH,0-125M_24hr,fly24,21,0.4172661870503597,139,-0.1654676258992805,0.1654676258992805,after food
CantonSMH,0-125M_24hr,fly24,24,0.3377483443708609,151,-0.3245033112582781,0.3245033112582781,after food
CantonSMH,0-125M_24hr,fly24,25,0.4,5,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly24,26,0.4782608695652174,46,-0.0434782608695651,0.0434782608695651,after food
CantonSMH,0-125M_24hr,fly24,27,0.5,40,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly24,29,0.25,4,-0.5,0.5,after food
CantonSMH,0-125M_24hr,fly24,30,0.4671814671814672,259,-0.0656370656370656,0.0656370656370656,after food
CantonSMH,0-125M_24hr,fly24,31,0.5193370165745856,181,0.0386740331491712,0.0386740331491712,after food
CantonSMH,0-125M_24hr,fly24,33,0.4761904761904761,42,-0.0476190476190476,0.0476190476190476,after food
CantonSMH,0-125M_24hr,fly24,35,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly24,36,0.4096385542168674,249,-0.1807228915662651,0.1807228915662651,after food
CantonSMH,0-125M_24hr,fly24,37,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly24,38,0.1666666666666666,6,-0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_24hr,fly24,39,0.3666666666666666,90,-0.2666666666666667,0.2666666666666667,after food
CantonSMH,0-125M_24hr,fly25,1,0.5,4,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly25,2,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly25,3,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly25,4,0.3333333333333333,6,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly25,5,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly25,7,0.0,5,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly25,8,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly25,9,0.5894736842105263,95,0.1789473684210525,0.1789473684210525,after food
CantonSMH,0-125M_24hr,fly25,10,0.2,5,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly25,11,0.0,4,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly25,12,1.0,4,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly25,13,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly25,15,0.5789473684210527,57,0.1578947368421053,0.1578947368421053,after food
CantonSMH,0-125M_24hr,fly25,16,0.0,6,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly25,17,0.0,3,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly25,19,0.2666666666666666,15,-0.4666666666666667,0.4666666666666667,after food
CantonSMH,0-125M_24hr,fly25,20,0.6956521739130435,23,0.3913043478260869,0.3913043478260869,after food
CantonSMH,0-125M_24hr,fly25,22,0.2352941176470588,17,-0.5294117647058824,0.5294117647058824,after food
CantonSMH,0-125M_24hr,fly25,23,0.65,20,0.3,0.3,after food
CantonSMH,0-125M_24hr,fly25,24,0.5048543689320388,103,0.0097087378640776,0.0097087378640776,after food
CantonSMH,0-125M_24hr,fly25,25,0.4166666666666667,72,-0.1666666666666666,0.1666666666666666,after food
CantonSMH,0-125M_24hr,fly25,26,0.75,8,0.5,0.5,after food
CantonSMH,0-125M_24hr,fly25,27,0.5,22,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly25,28,0.5,4,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly25,29,0.631578947368421,19,0.263157894736842,0.263157894736842,after food
CantonSMH,0-125M_24hr,fly25,30,0.4642857142857143,28,-0.0714285714285714,0.0714285714285714,after food
CantonSMH,0-125M_24hr,fly25,31,0.569620253164557,79,0.139240506329114,0.139240506329114,after food
CantonSMH,0-125M_24hr,fly25,33,1.0,4,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly25,34,0.6060606060606061,66,0.2121212121212121,0.2121212121212121,after food
CantonSMH,0-125M_24hr,fly25,35,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly25,38,0.5144508670520231,173,0.0289017341040462,0.0289017341040462,after food
CantonSMH,0-125M_24hr,fly25,39,0.2,5,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly25,40,0.6944444444444444,36,0.3888888888888888,0.3888888888888888,after food
CantonSMH,0-125M_24hr,fly25,41,0.5145631067961165,103,0.0291262135922329,0.0291262135922329,after food
CantonSMH,0-125M_24hr,fly25,43,0.5605095541401274,157,0.1210191082802547,0.1210191082802547,after food
CantonSMH,0-125M_24hr,fly25,44,0.5128205128205128,39,0.0256410256410255,0.0256410256410255,after food
CantonSMH,0-125M_24hr,fly25,46,0.3658536585365853,41,-0.2682926829268293,0.2682926829268293,after food
CantonSMH,0-125M_24hr,fly25,47,0.3939393939393939,33,-0.2121212121212121,0.2121212121212121,after food
CantonSMH,0-125M_24hr,fly25,49,0.6666666666666666,9,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly25,51,0.3846153846153846,52,-0.2307692307692307,0.2307692307692307,after food
CantonSMH,0-125M_24hr,fly25,52,0.478021978021978,182,-0.0439560439560439,0.0439560439560439,after food
CantonSMH,0-125M_24hr,fly26,4,0.875,8,0.75,0.75,after food
CantonSMH,0-125M_24hr,fly26,6,0.0,4,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly26,9,0.5,6,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly26,10,0.4761904761904761,42,-0.0476190476190476,0.0476190476190476,after food
CantonSMH,0-125M_24hr,fly26,13,1.0,4,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly26,14,0.4,5,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly26,15,0.4696969696969697,264,-0.0606060606060605,0.0606060606060605,after food
CantonSMH,0-125M_24hr,fly26,16,0.0,4,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly26,17,0.875,8,0.75,0.75,after food
CantonSMH,0-125M_24hr,fly26,18,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly26,19,0.3218390804597701,87,-0.3563218390804598,0.3563218390804598,after food
CantonSMH,0-125M_24hr,fly26,21,0.25,4,-0.5,0.5,after food
CantonSMH,0-125M_24hr,fly26,22,0.0,4,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly26,23,0.2142857142857142,14,-0.5714285714285714,0.5714285714285714,after food
CantonSMH,0-125M_24hr,fly26,24,0.3333333333333333,6,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly26,25,0.0,4,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly26,26,0.4285714285714285,7,-0.1428571428571429,0.1428571428571429,after food
CantonSMH,0-125M_24hr,fly26,28,0.4406779661016949,59,-0.1186440677966101,0.1186440677966101,after food
CantonSMH,0-125M_24hr,fly27,5,0.0,4,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly27,6,0.1428571428571428,7,-0.7142857142857143,0.7142857142857143,after food
CantonSMH,0-125M_24hr,fly27,7,0.8333333333333334,6,0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_24hr,fly27,8,1.0,5,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly27,9,0.1428571428571428,7,-0.7142857142857143,0.7142857142857143,after food
CantonSMH,0-125M_24hr,fly27,10,0.1818181818181818,11,-0.6363636363636364,0.6363636363636364,after food
CantonSMH,0-125M_24hr,fly27,11,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly27,12,0.3703703703703703,27,-0.2592592592592593,0.2592592592592593,after food
CantonSMH,0-125M_24hr,fly27,13,0.1428571428571428,7,-0.7142857142857143,0.7142857142857143,after food
CantonSMH,0-125M_24hr,fly27,14,0.3684210526315789,19,-0.2631578947368421,0.2631578947368421,after food
CantonSMH,0-125M_24hr,fly27,15,1.0,4,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly27,16,0.5789473684210527,19,0.1578947368421053,0.1578947368421053,after food
CantonSMH,0-125M_24hr,fly27,18,0.3043478260869565,23,-0.3913043478260869,0.3913043478260869,after food
CantonSMH,0-125M_24hr,fly27,19,0.3333333333333333,30,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly27,20,0.4418604651162791,43,-0.1162790697674418,0.1162790697674418,after food
CantonSMH,0-125M_24hr,fly27,21,0.6388888888888888,36,0.2777777777777777,0.2777777777777777,after food
CantonSMH,0-125M_24hr,fly27,22,0.5,100,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly27,23,0.5714285714285714,7,0.1428571428571428,0.1428571428571428,after food
CantonSMH,0-125M_24hr,fly27,24,0.5,16,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly27,25,0.6923076923076923,26,0.3846153846153846,0.3846153846153846,after food
CantonSMH,0-125M_24hr,fly27,26,0.6007905138339921,253,0.2015810276679841,0.2015810276679841,after food
CantonSMH,0-125M_24hr,fly27,29,0.5,6,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly27,30,0.5454545454545454,22,0.0909090909090908,0.0909090909090908,after food
CantonSMH,0-125M_24hr,fly27,32,1.0,5,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly27,33,0.6666666666666666,12,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly27,34,0.5757575757575758,132,0.1515151515151516,0.1515151515151516,after food
CantonSMH,0-125M_24hr,fly28,4,0.8,5,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_24hr,fly28,5,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly28,6,0.625,16,0.25,0.25,after food
CantonSMH,0-125M_24hr,fly28,7,0.581081081081081,148,0.162162162162162,0.162162162162162,after food
CantonSMH,0-125M_24hr,fly28,9,0.6,5,0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly28,10,1.0,4,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly28,11,0.8,5,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_24hr,fly28,12,0.5384615384615384,13,0.0769230769230768,0.0769230769230768,after food
CantonSMH,0-125M_24hr,fly28,13,0.8387096774193549,31,0.6774193548387097,0.6774193548387097,after food
CantonSMH,0-125M_24hr,fly28,15,0.8095238095238095,21,0.6190476190476191,0.6190476190476191,after food
CantonSMH,0-125M_24hr,fly28,16,0.2,5,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly28,17,1.0,4,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly28,19,1.0,6,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly28,20,0.2,5,-0.6,0.6,after food
SS90_x_Kir,0-125M_24hr,fly02,4,1.0,3,1.0,1.0,after food
SS90_x_Kir,0-125M_24hr,fly02,7,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
SS90_x_Kir,0-125M_24hr,fly02,9,0.4939024390243902,164,-0.0121951219512195,0.0121951219512195,after food
SS90_x_Kir,0-125M_24hr,fly02,10,0.4710144927536231,138,-0.0579710144927536,0.0579710144927536,after food
SS90_x_Kir,0-125M_24hr,fly03,1,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
SS90_x_Kir,0-125M_24hr,fly03,3,0.5,4,0.0,0.0,after food
SS90_x_Kir,0-125M_24hr,fly03,5,1.0,3,1.0,1.0,after food
SS90_x_Kir,0-125M_24hr,fly03,6,0.6666666666666666,6,0.3333333333333332,0.3333333333333332,after food
SS90_x_Kir,0-125M_24hr,fly03,7,0.6666666666666666,6,0.3333333333333332,0.3333333333333332,after food
SS90_x_Kir,0-125M_24hr,fly03,8,0.5116279069767442,43,0.0232558139534884,0.0232558139534884,after food
SS90_x_Kir,0-125M_24hr,fly03,9,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
SS90_x_Kir,0-125M_24hr,fly03,10,0.5909090909090909,66,0.1818181818181818,0.1818181818181818,after food
SS90_x_Kir,0-125M_24hr,fly03,12,0.25,4,-0.5,0.5,after food
SS90_x_Kir,0-125M_24hr,fly03,13,0.7058823529411765,17,0.411764705882353,0.411764705882353,after food
SS90_x_Kir,0-125M_24hr,fly03,16,0.5142857142857142,35,0.0285714285714284,0.0285714285714284,after food
SS90_x_Kir,0-125M_24hr,fly03,17,0.3333333333333333,6,-0.3333333333333333,0.3333333333333333,after food
SS90_x_Kir,0-125M_24hr,fly03,18,0.1904761904761904,21,-0.6190476190476191,0.6190476190476191,after food
SS90_x_Kir,0-125M_24hr,fly03,19,0.6875,16,0.375,0.375,after food
SS90_x_Kir,0-125M_24hr,fly03,21,0.4705882352941176,153,-0.0588235294117647,0.0588235294117647,after food
SS90_x_Kir,0-125M_24hr,fly03,22,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
SS90_x_Kir,0-125M_24hr,fly03,23,0.0666666666666666,15,-0.8666666666666667,0.8666666666666667,after food
SS90_x_Kir,0-125M_24hr,fly03,24,0.4666666666666667,135,-0.0666666666666666,0.0666666666666666,after food
SS90_x_Kir,0-125M_24hr,fly03,25,0.4833333333333333,120,-0.0333333333333333,0.0333333333333333,after food
SS90_x_Kir,0-125M_24hr,fly03,26,0.48,75,-0.04,0.04,after food
SS90_x_Kir,0-125M_24hr,fly04,4,0.0,3,-1.0,1.0,after food
SS90_x_Kir,0-125M_24hr,fly04,5,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
SS90_x_Kir,0-125M_24hr,fly04,6,1.0,3,1.0,1.0,after food
SS90_x_Kir,0-125M_24hr,fly04,7,1.0,4,1.0,1.0,after food
SS90_x_Kir,0-125M_24hr,fly04,8,1.0,3,1.0,1.0,after food
SS90_x_Kir,0-125M_24hr,fly04,9,0.2857142857142857,7,-0.4285714285714286,0.4285714285714286,after food
SS90_x_Kir,0-125M_24hr,fly04,11,1.0,5,1.0,1.0,after food
SS90_x_Kir,0-125M_24hr,fly04,12,1.0,4,1.0,1.0,after food
SS90_x_Kir,0-125M_24hr,fly04,13,0.75,4,0.5,0.5,after food
SS90_x_Kir,0-125M_24hr,fly04,14,0.3888888888888889,18,-0.2222222222222222,0.2222222222222222,after food
SS90_x_Kir,0-125M_24hr,fly04,15,0.5454545454545454,11,0.0909090909090908,0.0909090909090908,after food
SS90_x_Kir,0-125M_24hr,fly04,16,0.3333333333333333,6,-0.3333333333333333,0.3333333333333333,after food
SS90_x_Kir,0-125M_24hr,fly04,18,0.5,24,0.0,0.0,after food
SS90_x_Kir,0-125M_24hr,fly04,20,0.6666666666666666,6,0.3333333333333332,0.3333333333333332,after food
