genotype,label,flyid,food,abs_ifCW
Gr5a,"Gr5a
Gr5a-40hr",fly11,before,0.0904925544100802
Gr5a,"Gr5a
Gr5a-40hr",fly12,after,0.030677655677655652
Gr5a,"Gr5a
Gr5a-40hr",fly12,before,0.1704410011918951
Gr5a,"Gr5a
Gr5a-40hr",fly13,after,0.18474510710776376
Gr5a,"Gr5a
Gr5a-40hr",fly13,before,0.04770477047704769
Gr5a,"Gr5a
Gr5a-40hr",fly14,after,0.15688871583743508
Gr5a,"Gr5a
Gr5a-40hr",fly14,before,0.047200878155872705
Gr5a,"Gr5a
Gr5a-40hr",fly15,after,0.04908941553107419
Gr5a,"Gr5a
Gr5a-40hr",fly15,before,0.06768558951965065
Gr5a,"Gr5a
Gr5a-40hr",fly16,after,0.16837274475672354
Gr5a,"Gr5a
Gr5a-40hr",fly16,before,0.015463917525773141
Gr5a,"Gr5a
Gr5a-40hr",fly17,after,0.1742696509117689
Gr5a,"Gr5a
Gr5a-40hr",fly17,before,0.2419627749576988
Gr5a,"Gr5a
Gr5a-40hr",fly18,after,0.1281170662727784
Gr5a,"Gr5a
Gr5a-40hr",fly18,before,0.03562340966921118
Gr5a,"Gr5a
Gr5a-40hr",fly19,after,0.11500615935076745
Gr5a,"Gr5a
Gr5a-40hr",fly19,before,0.021759697256386046
Gr5a,"Gr5a
Gr5a-40hr",fly20,after,0.11697717566583815
Gr5a,"Gr5a
Gr5a-40hr",fly20,before,0.022035676810073346
