genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
Tmem63b,0-125M_24hr,fly07,0.0,0.4828629032258064,992,-0.0342741935483871,0.0342741935483871,before food
Tmem63b,0-125M_24hr,fly08,0.0,0.4700665188470067,451,-0.0598669623059866,0.0598669623059866,before food
Tmem63b,0-125M_24hr,fly09,0.0,0.5,786,0.0,0.0,before food
Tmem63b,0-125M_24hr,fly10,0.0,0.4226361031518624,698,-0.1547277936962751,0.1547277936962751,before food
Tmem63b,0-125M_24hr,fly11,0.0,0.3333333333333333,6,-0.3333333333333333,0.3333333333333333,before food
Tmem63b,0-125M_24hr,fly12,0.0,0.4848484848484848,297,-0.0303030303030302,0.0303030303030302,before food
Tmem63b,0-125M_24hr,fly13,0.0,0.5525291828793775,514,0.1050583657587549,0.1050583657587549,before food
Tmem63b,0-125M_24hr,fly14,0.0,0.4578544061302682,522,-0.0842911877394636,0.0842911877394636,before food
Tmem63b,0-125M_24hr,fly15,0.0,0.5182926829268293,164,0.0365853658536585,0.0365853658536585,before food
Tmem63b,0-125M_24hr,fly16,0.0,0.5302013422818792,298,0.0604026845637584,0.0604026845637584,before food
Tmem63b,0-125M_24hr,fly17,0.0,0.4978540772532189,233,-0.0042918454935622,0.0042918454935622,before food
Tmem63b,0-125M_24hr,fly18,0.0,0.4833005893909626,509,-0.0333988212180746,0.0333988212180746,before food
Tmem63b,0-125M_24hr,fly19,0.0,0.508,250,0.016,0.016,before food
Tmem63b,0-125M_24hr,fly20,0.0,0.4432529043789097,1119,-0.1134941912421805,0.1134941912421805,before food
Tmem63b,0-125M_24hr,fly21,0.0,0.4439252336448598,214,-0.1121495327102803,0.1121495327102803,before food
Tmem63b_x_CSMH,0-125M_24hr,fly01,0.0,0.4647887323943662,71,-0.0704225352112676,0.0704225352112676,before food
Tmem63b_x_CSMH,0-125M_24hr,fly02,0.0,0.4705882352941176,85,-0.0588235294117647,0.0588235294117647,before food
Tmem63b_x_CSMH,0-125M_24hr,fly03,0.0,0.4824120603015075,199,-0.0351758793969849,0.0351758793969849,before food
Tmem63b_x_CSMH,0-125M_24hr,fly04,0.0,0.4827586206896552,174,-0.0344827586206896,0.0344827586206896,before food
Tmem63b_x_CSMH,0-125M_24hr,fly05,0.0,0.5673469387755102,245,0.1346938775510204,0.1346938775510204,before food
Tmem63b_x_CSMH,0-125M_24hr,fly06,0.0,0.5341246290801187,337,0.0682492581602374,0.0682492581602374,before food
Tmem63b_x_CSMH,0-125M_24hr,fly07,0.0,0.4569983136593591,593,-0.0860033726812816,0.0860033726812816,before food
Tmem63b_x_CSMH,0-125M_24hr,fly08,0.0,0.5043103448275862,232,0.0086206896551723,0.0086206896551723,before food
Tmem63b_x_CSMH,0-125M_24hr,fly09,0.0,0.5191256830601093,183,0.0382513661202186,0.0382513661202186,before food
Tmem63b_x_CSMH,0-125M_24hr,fly10,0.0,0.5907590759075908,303,0.1815181518151816,0.1815181518151816,before food
Tmem63b_x_CSMH,0-125M_24hr,fly11,0.0,0.578125,128,0.15625,0.15625,before food
Tmem63b_x_CSMH,0-125M_24hr,fly12,0.0,0.5082781456953642,604,0.0165562913907284,0.0165562913907284,before food
Tmem63b_x_CSMH,0-125M_24hr,fly13,0.0,0.5299145299145299,234,0.0598290598290598,0.0598290598290598,before food
Tmem63b_x_CSMH,0-125M_24hr,fly14,0.0,0.4346153846153846,260,-0.1307692307692307,0.1307692307692307,before food
Tmem63b_x_CSMH,0-125M_24hr,fly15,0.0,0.4894179894179894,378,-0.0211640211640211,0.0211640211640211,before food
Tmem63b_x_CSMH,0-125M_24hr,fly16,0.0,0.4344827586206896,290,-0.1310344827586207,0.1310344827586207,before food
Tmem63b_x_CSMH,0-125M_24hr,fly17,0.0,0.4242424242424242,165,-0.1515151515151515,0.1515151515151515,before food
Tmem63b_x_CSMH,0-125M_24hr,fly18,0.0,0.4938271604938271,324,-0.0123456790123457,0.0123456790123457,before food
Tmem63b_x_CSMH,0-125M_24hr,fly19,0.0,0.5358255451713395,321,0.071651090342679,0.071651090342679,before food
Tmem63b_x_CSMH,0-125M_24hr,fly20,0.0,0.5315315315315315,222,0.063063063063063,0.063063063063063,before food
Tmem63b_x_CSMH,0-125M_24hr,fly21,0.0,0.5012531328320802,399,0.0025062656641603,0.0025062656641603,before food
CantonSMH,0-125M_24hr,fly01,2.0,0.2857142857142857,7,-0.4285714285714286,0.4285714285714286,after food
CantonSMH,0-125M_24hr,fly01,3.0,0.8,5,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_24hr,fly01,4.0,1.0,8,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly01,5.0,0.2,5,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly01,7.0,0.0,3,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly01,8.0,0.1428571428571428,7,-0.7142857142857143,0.7142857142857143,after food
CantonSMH,0-125M_24hr,fly01,10.0,0.2857142857142857,7,-0.4285714285714286,0.4285714285714286,after food
CantonSMH,0-125M_24hr,fly01,11.0,0.5,12,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly01,12.0,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly01,13.0,0.4210526315789473,19,-0.1578947368421053,0.1578947368421053,after food
CantonSMH,0-125M_24hr,fly01,14.0,0.5789473684210527,19,0.1578947368421053,0.1578947368421053,after food
CantonSMH,0-125M_24hr,fly01,15.0,0.1666666666666666,6,-0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_24hr,fly01,16.0,0.3333333333333333,18,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly01,17.0,0.2,10,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly01,18.0,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly01,19.0,0.5555555555555556,18,0.1111111111111111,0.1111111111111111,after food
