genotype,fly,food,abs_ifCW
Tmem63b_x_CSMH,fly11,after food,0.25586560687648024
Tmem63b_x_CSMH,fly11,before food,0.15625
Tmem63b_x_CSMH,fly12,before food,0.0165562913907284
Tmem63b_x_CSMH,fly13,after food,0.5339403917595407
Tmem63b_x_CSMH,fly13,before food,0.0598290598290598
Tmem63b_x_CSMH,fly14,after food,0.3376628829133708
Tmem63b_x_CSMH,fly14,before food,0.1307692307692307
Tmem63b_x_CSMH,fly15,after food,0.3198151644047145
Tmem63b_x_CSMH,fly15,before food,0.0211640211640211
Tmem63b_x_CSMH,fly16,after food,0.31170288169429905
Tmem63b_x_CSMH,fly16,before food,0.1310344827586207
Tmem63b_x_CSMH,fly17,after food,0.3160007238339454
Tmem63b_x_CSMH,fly17,before food,0.1515151515151515
Tmem63b_x_CSMH,fly18,after food,0.2990781161682776
Tmem63b_x_CSMH,fly18,before food,0.0123456790123457
Tmem63b_x_CSMH,fly19,after food,0.34935253567939006
Tmem63b_x_CSMH,fly19,before food,0.071651090342679
Tmem63b_x_CSMH,fly20,after food,0.33469305725776616
Tmem63b_x_CSMH,fly20,before food,0.063063063063063
Tmem63b_x_CSMH,fly21,after food,0.16757646147890046
Tmem63b_x_CSMH,fly21,before food,0.0025062656641603
