genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW
Tmem63b_x_CSMH,0-125M_24hr,fly10,0.0,0.5907590759075908,303,0.1815181518151816,0.1815181518151816
Tmem63b_x_CSMH,0-125M_24hr,fly11,0.0,0.578125,128,0.15625,0.15625
Tmem63b_x_CSMH,0-125M_24hr,fly12,0.0,0.5082781456953642,604,0.01655629139072845,0.01655629139072845
Tmem63b_x_CSMH,0-125M_24hr,fly13,0.0,0.5299145299145299,234,0.05982905982905984,0.05982905982905984
Tmem63b_x_CSMH,0-125M_24hr,fly14,0.0,0.4346153846153846,260,-0.13076923076923075,0.13076923076923075
Tmem63b_x_CSMH,0-125M_24hr,fly15,0.0,0.4894179894179894,378,-0.021164021164021163,0.021164021164021163
Tmem63b_x_CSMH,0-125M_24hr,fly16,0.0,0.43448275862068964,290,-0.13103448275862073,0.13103448275862073
Tmem63b_x_CSMH,0-125M_24hr,fly17,0.0,0.42424242424242425,165,-0.1515151515151515,0.1515151515151515
Tmem63b_x_CSMH,0-125M_24hr,fly18,0.0,0.49382716049382713,324,-0.012345679012345734,0.012345679012345734
Tmem63b_x_CSMH,0-125M_24hr,fly19,0.0,0.5358255451713395,321,0.07165109034267902,0.07165109034267902
Tmem63b_x_CSMH,0-125M_24hr,fly20,0.0,0.5315315315315315,222,0.06306306306306309,0.06306306306306309
Tmem63b_x_CSMH,0-125M_24hr,fly21,0.0,0.5012531328320802,399,0.0025062656641603454,0.0025062656641603454
