,condition,flyid,loopN,loop_length,distance_patch_0,fed,normFed,deltaCFF,pathLengthDistanceRatio,maxDistBin_uneven,maxDistBin,deltaCFFBin,loopN_bin,loopN_binShort,loopN_binShort_num
524,sucrose,fly12,28,40.17791632547016,13.802392444719224,408.6713909999085,0.982,0.0007548402307926416,2.9109385554996425,"[12, 15)","[12, 16)","[0.0, 0.1)","[25, 29)","[28, 31)",9.0
525,sucrose,fly13,1,3.3242821698610445,2.511103383466405,85.52734599999997,0.348,0.07370035318907768,1.3238332566268547,"[0, 3)","[0, 4)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
526,sucrose,fly13,2,4.323092833957692,2.668178759818743,94.32673000000102,0.384,0.0010854613129533952,1.620241079443782,"[0, 3)","[0, 4)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
527,sucrose,fly13,3,5.029430108313751,2.8814862007688946,97.29318900000138,0.396,0.005254493961257864,1.7454291840688672,"[0, 3)","[0, 4)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
528,sucrose,fly13,4,20.874422709305165,7.874267045204885,106.15923500000244,0.432,0.008220907803532823,2.650967079153971,"[6, 9)","[4, 8)","[0.0, 0.1)","[1, 5)","[4, 7)",1.0
529,sucrose,fly13,5,315.2819588468706,18.205272722893145,110.15895500000292,0.448,0.0012418987427833539,17.318167304926078,"[15, 20)","[16, 20)","[0.0, 0.1)","[5, 9)","[4, 7)",1.0
530,sucrose,fly13,6,1.8386601995771215,2.277915640095792,151.6560500000079,0.617,0.02266981478916355,0.8071678192173092,"[0, 3)","[0, 4)","[0.0, 0.1)","[5, 9)","[4, 7)",1.0
531,sucrose,fly13,7,2.7257332761434774,2.55803019461757,157.95560900000865,0.643,0.004635062343730567,1.065559461291261,"[0, 3)","[0, 4)","[0.0, 0.1)","[5, 9)","[7, 10)",2.0
532,sucrose,fly13,8,19.15417126774961,6.386743034824972,170.22141700001012,0.693,0.0034537005832995377,2.9990514982844503,"[6, 9)","[4, 8)","[0.0, 0.1)","[5, 9)","[7, 10)",2.0
533,sucrose,fly13,9,4.2716582058273564,2.3340483223721393,187.75352300001222,0.764,0.005234632279222169,1.8301498580312108,"[0, 3)","[0, 4)","[0.0, 0.1)","[9, 13)","[7, 10)",2.0
534,sucrose,fly13,10,17.74063039693258,4.3908518757130945,200.8859370000138,0.817,0.003786408925121769,4.040361847563218,"[3, 6)","[4, 8)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
535,sucrose,fly13,11,37.9619279174906,9.143434917982857,210.21861700001492,0.855,0.002565280925704558,4.151823495000653,"[9, 12)","[8, 12)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
536,sucrose,fly13,12,62.57678117358106,14.97454094365153,217.81808500001583,0.886,0.0013274818487549744,4.178878097769704,"[12, 15)","[12, 16)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
537,sucrose,fly13,13,192.29209533630325,73.33145534437313,222.85106600001643,0.907,0.00271783838650122,2.622232088989329,,,"[0.0, 0.1)","[13, 17)","[13, 16)",4.0
538,sucrose,fly13,14,5.353348569854212,3.4211838955818292,226.38415200001685,0.921,-0.0001449810581594796,1.5647649273596813,"[3, 6)","[0, 4)","[-0.1, 0.0)","[13, 17)","[13, 16)",4.0
539,sucrose,fly13,15,52.0157918307376,14.872661601656125,230.65052000001737,0.938,0.0016217620218117595,3.4974097591883253,"[12, 15)","[12, 16)","[0.0, 0.1)","[13, 17)","[13, 16)",4.0
540,sucrose,fly14,1,3.1698134433185814,3.1160111497334064,16.66550000000017,0.06,0.01798641026744529,1.0172663995729856,"[3, 6)","[0, 4)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
541,sucrose,fly14,2,5.594918429907284,2.7678978591342798,38.99726999999972,0.141,0.02338940145451531,2.0213601493435225,"[0, 3)","[0, 4)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
542,sucrose,fly14,3,116.39631796340629,13.98807882879485,41.030460999999534,0.148,0.0018919629707385976,8.32110823709409,"[12, 15)","[12, 16)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
543,sucrose,fly14,4,589.5797823800755,8.255435697130466,118.19172600000388,0.426,0.042273946914010714,71.41716125110266,"[6, 9)","[8, 12)","[0.0, 0.1)","[1, 5)","[4, 7)",1.0
544,sucrose,fly14,5,332.5296980265623,18.264082855678744,238.84994600001835,0.861,0.04259568310924403,18.206755885536886,"[15, 20)","[16, 20)","[0.0, 0.1)","[5, 9)","[4, 7)",1.0
545,sucrose,fly14,6,67.03488036961437,30.042097196518146,275.04741200000643,0.991,0.008711489932356875,2.231364872136279,"[30, 40)","[28, 32)","[0.0, 0.1)","[5, 9)","[4, 7)",1.0
